#RA                     DEC                               TWOMASS                  GAIA                     Hmag           Tmag
206.584234557859           27.1927198433719           13462022+2711341           1451611092493070976           6.919           7.55661
159.317088746163           23.4498293122898           10371611+2326595           723208549173301632           7.197           7.82119
273.609173286049           5.90634159044616           18142617+0554228           4471706437183566720           7.399           7.85391
226.783084362291           22.0180216574412           15070796+2201043           1261796524674706688           7.474           8.16878
12.7482340071057           84.6355852836929           00505932+8438080           573355254727667456           7.519           8.2134
217.301965781594           57.167193097742           14291253+5710015           1610956234600667776           7.828           8.3089
243.537947338773           50.075652565706           16140911+5004326           1424277744526838272           7.654           8.34123
123.970218690396           50.7855199885558           08155288+5047084           935208001760993152           7.855           8.34694
281.205423584375           -3.60422402159146           18444929-0336149           4258481656224059008           7.756           8.44607
53.364927565338           0.119651327208392           03332757+0007107           3264551422750608000           8.006           8.45016
20.0412253919658           84.7576912719783           01200992+8445276           573679228403938048           7.154           8.5139
243.780274647663           24.526710523634           16150725+2431363           1302887232710616448           7.91           8.60295
290.680156147119           29.9608947376578           19224323+2957392           2038778476730001792           8.258           8.6478
35.4292977843286           57.3082495787741           02214302+5718299           458459691249627776           7.222           8.7125
20.3820679478245           -73.6656268478582           01213171-7339563           4686423534623883136           8.138           8.7978
194.423634323732           28.8258855142102           12574167+2849333           1463914009132806528           7.568           8.8652
196.075310495306           28.1068874932149           13041806+2806250           1461141487484459392           8.268           8.9063
196.629319636997           28.0741408212549           13063105+2804269           1460954226910681984           8.368           8.94575
180.79203206137           -74.9424382075638           12031019-7456327           5841190122818280448           8.285           8.9938
121.58491419297           27.8944476465073           08062039+2753400           683842841739998336           8.498           9.00495
216.067781934908           -5.3209655503965           14241630-0519154           3641677691965375616           8.376           9.05566
22.3632320662386           -73.0105463959386           01292717-7300378           4686483668459826304           8.485           9.1337
221.611875917954           51.5649163639271           14462688+5133535           1605546534313036672           8.5           9.1954
112.148370299369           22.2471950356552           07283562+2214499           866026455265142272           8.997           9.2418
163.197032367588           48.842223288385           10524735+4850317           832504957072348928           8.681           9.2934
240.371337913767           25.8276069019296           16012911+2549393           1219347163866471296           8.743           9.35807
217.034314772045           49.2567395089571           14280818+4915248           1507556065181052288           8.786           9.37165
239.742592021989           27.0337927334365           15585824+2702017           1316486198681936768           8.691           9.39419
286.955685073949           46.9366399069968           19074937+4656118           2130638481326861824           7.849           9.402
205.283697833594           28.710662149098           13410807+2842380           1455086197776349056           8.338           9.4678
141.15389786912           47.2493996511679           09243694+4714578           819594216661708032           8.86           9.4934
230.501901934895           0.988006330220317           15220046+0059168           4420413773069313792           8.866           9.51848
53.8123409332888           46.1231930258871           03351495+4607233           247803262042173056           7.296           9.5398
210.803969970805           28.0041694040185           14031294+2800152           1452497195785491712           8.902           9.5565
79.8122702718912           23.7326122297255           05191492+2343580           3417178239577007872           7.644           9.55787
291.77185119481           41.098103088255           19270523+4105530           2101634154863008000           8.955           9.56405
193.66465518237           57.4232514694461           12543951+5725238           1577160958014231936           7.882           9.6044
224.894244217625           22.1535047092499           14593462+2209125           1262701521527637248           8.911           9.6069
228.748970322495           0.0939497908466274           15145975+0005386           4418936033737014400           8.84           9.61304
190.20244638539           -7.80519608885127           12404862-0748188           3676107077523064192           8.917           9.6203
79.1797430254903           23.1304431391293           05164313+2307495           3415631157997046912           7.627           9.6225
257.288144612814           32.3568247755771           17090915+3221244           1334304952840908160           8.202           9.7107
122.798430822683           32.9180149807699           08111162+3255049           902085660651149440           8.248           9.7137
251.695610020536           19.9379571233873           16464692+1956165           4563163062763088640           8.258           9.7251
175.973617700575           1.78420889504796           11435367+0147031           3799405589907047808           9.197           9.7377
180.565746052896           19.4214477748145           12021584+1925175           3951144478079597440           8.967           9.7446
194.536174598941           49.1756089202814           12580871+4910325           1555719106884242176           8.844           9.7618
179.01033332942           55.8395029832523           11560245+5550221           841785797283722240           8.988           9.7638
99.60835671862           -69.9153992335376           06382599-6954559           5278850295271091200           9.11           9.7874
45.5192459788865           -0.232316121359948           03020464-0013559           3266541813674656256           8.974           9.7899
79.250791471011           23.9693707687492           05170018+2358099           3415888718595496576           7.576           9.79009
247.48145679974           39.2486381307863           16295553+3914554           1332534017565447808           8.855           9.81496
260.365264844522           59.8557835271454           17212765+5951208           1434364874654560640           8.3           9.8259
230.371218386258           67.379616856161           15212898+6722473           1645602533185689728           9.204           9.8559
194.618662046451           26.6146350396707           12582845+2636529           3958570927503812224           8.493           9.9144
202.060147395226           38.3533445050694           13281446+3821122           1476208576356199168           9.242           9.9232
196.044448723861           27.7252026380792           13041065+2743309           1460563659764508032           9.349           9.9402
193.574239032126           27.8622330362051           12541780+2751439           1463758496956399616           9.259           9.9404
123.023448481024           33.6206975186762           08120565+3337152           902691800796112768           9.021           9.98374
51.5141026770477           45.7522517943869           03260338+4545080           242680980968361088           7.976           10.0076
168.151590062347           39.7822223129929           11123641+3946564           765343797549819392           9.207           10.05
165.048667195324           49.4935251274064           11001169+4929368           832726096348426624           9.579           10.0564
1.08028203792518           0.875573797696796           00041928+0052323           2546210617712332032           9.344           10.0616
178.536203678784           33.8596066443798           11540869+3351349           4027892352495919616           9.282           10.0707
159.488373886594           24.7913288917006           10375721+2447287           724205638716466176           9.435           10.0708
7.95537157512279           84.4433476929551           00314911+8426360           573524579519437440           9.309           10.0915
175.002548550993           50.4145074504296           11400056+5024528           790893527204341632           9.305           10.1051
166.632671465767           11.5165799709138           11063186+1130597           3964576769252221952           9.501           10.1071
230.300023563866           1.30487416280482           15211202+0118171           4420627902958142720           9.456           10.113
147.440255389131           37.3561470129376           09494567+3721221           799594203232531328           9.463           10.1283
52.0186567889833           7.391532354347           03280448+0723299           9999444075159936           9.398           10.1522
228.673485781365           2.02017624495365           15144165+0201126           4421700549566489728           9.428           10.1698
158.215232647783           42.917870381878           10325167+4255044           828777647013685120           9.195           10.1875
17.2261995690228           -71.1291325954679           01085433-7107447           4690633362799540096           9.477           10.2003
261.733070810632           59.0000579561545           17265591+5900001           1434773721181147520           9.528           10.2006
175.779945996519           -14.3033603969072           11430725-1418121           3572909286962798976           9.477           10.2047
224.942452510097           67.2585839842253           14594618+6715310           1693460151175224320           9.694           10.2379
53.1871102796866           46.3941277698391           03324489+4623388           248053366578932224           7.38           10.2388
194.357179984801           28.3072296329236           12572573+2818259           1463787462215901312           8.229           10.2429
55.2408193028954           31.3015865386727           03405779+3118059           216531983114472960           8.851           10.2541
249.627357211248           37.2327888170908           16383054+3713584           1328386213028411392           9.642           10.2633
252.00066940034           21.4068730720437           16480013+2124248           4565580888832048256           9.331           10.2927
52.4450956529071           45.3523163416941           03294681+4521083           241947915949211904           7.714           10.2998
194.439954301824           27.0309483560972           12574557+2701516           1460644886185625472           9.672           10.3347
122.850327621674           32.8615711431328           08112409+3251415           902072707028520960           8.986           10.3375
54.5043614815597           46.0537661618232           03380104+4603136           247766050445696256           8.014           10.3576
166.06319216295           44.7042559132957           11041521+4442152           782068640719236864           9.648           10.3624
258.779735945059           44.6072575580885           17150712+4436262           1361506385179134720           9.436           10.3684
245.888441980347           23.4799088887687           16233325+2328477           1301745561684334336           9.374           10.3746
178.528568351125           34.0059496899623           11540687+3400219           4027902759201145984           9.589           10.3748
11.6636312310849           85.3927155588494           00463920+8523336           573967403529044352           8.597           10.3909
4.86381638812937           85.9070225499122           00192726+8554252           574041315623417984           9.643           10.396
0.875116376985989           74.8663783580911           00032999+7451590           538163082979719552           7.792           10.3992
171.541498834774           53.5869631236209           11260994+5335131           839863438641752960           9.76           10.4116
176.414268825093           2.07752981012158           11453946+0204391           3799510593267693952           9.718           10.425
158.866260832132           25.2097142057905           10352794+2512348           724410354037605888           9.791           10.4413
228.025462448974           68.4496014261899           15120615+6826579           1693944829644533760           9.687           10.4584
185.057797177437           15.5572518504507           12201387+1533262           3945464096066058368           8.778           10.4851
204.095748276669           28.5686815527831           13362301+2834074           1455033803469755264           8.998           10.4883
291.752055502708           38.6625555461922           19270048+3839451           2052738288662716928           9.863           10.4903
214.139117463302           56.9087506877656           14163340+5654313           1611454279008512768           9.641           10.5007
2.67517021778444           1.86837298962144           00104203+0152065           2546731476986185600           9.058           10.5447
228.9073196689           -0.335039007835248           15153777-0020060           4418699363859144832           8.942           10.5477
194.157795578128           27.3516776586165           12563793+2721062           1460668182088217600           9.618           10.5608
8.74797679288428           55.977308148088           00345951+5558383           418659809862800512           8.998           10.5706
6.89487764256282           54.7163503034054           00273477+5442589           421107803779873280           8.998           10.5828
9.47746634433578           84.5116781191795           00375455+8430418           573519769156195712           9.797           10.6085
198.357182415759           31.5950866392448           13132575+3135425           1466488756127946112           9.863           10.6198
2.79214059585088           1.29607662418322           00111010+0117459           2546646780231104128           9.189           10.6206
203.561282906138           37.8588547547489           13341473+3751311           1475570550374176128           8.833           10.6409
54.1760696383268           44.82010368199           03364225+4449124           244689754351060992           9.115           10.6503
167.19432488874           48.4783969704833           11084658+4828423           837688879520420992           9.466           10.6751
132.849012005659           11.8303597558566           08512377+1149493           604917728138508160           9.482           10.6772
46.0075294082339           -1.46950678297846           03040182-0128098           5187736618534158464           9.302           10.6931
229.715522541301           -0.164043153666728           15185169-0009502           4418808078071357440           9.979           10.6999
185.250328763533           -1.64295222678314           12210006-0138348           3694742390864909824           9.915           10.7025
177.513561216737           49.0960271854582           11500324+4905456           787654915702063744           9.573           10.7067
119.873666917783           29.8776466143497           07592968+2952397           877294039970626816           9.842           10.7105
19.7467089689595           85.3868555822343           01185920+8523127           573859105930445184           8.794           10.7152
115.48460862108           27.8978824083774           07415628+2753521           878256460538469760           9.446           10.7375
242.539376700354           23.2059478935926           16100946+2312212           1206576576827586560           9.957           10.774
236.34496569992           28.5457004768311           15452284+2832443           1224646294516270208           9.604           10.7764
141.73763847462           28.9140627900545           09265703+2854508           695453100414040192           10.069           10.7767
171.698740345034           52.8690671659869           11264769+5252088           839586018114289152           9.292           10.7898
166.911964310694           46.8166093590799           11073886+4649000           783315899231853056           9.482           10.8023
121.900058321811           21.7787786282899           08073602+2146435           676960483065750656           9.186           10.8069
17.3578273481046           83.9935632164378           01092592+8359366           573255577126892416           8.936           10.8203
8.32304310900884           53.7727185309055           00331755+5346217           416509680513533056           8.846           10.8446
28.8080366014151           -1.55616825153658           01551393-0133219           2505838921561830784           9.347           10.8483
218.760562965041           51.25290024798           14350252+5115106           1604208669180276736           10.169           10.8522
142.017143995361           27.4293908341157           09280412+2725458           694541639634307712           9.473           10.8549
167.931053741157           41.0421395829646           11114354+4102314           777481611351426048           9.221           10.8586
201.115830346148           31.6969762956265           13242779+3141489           1469307865285258752           9.946           10.8624
195.485407490236           29.0254043707166           13015650+2901317           1464259457646196864           9.936           10.8907
228.10645475664           0.39139583325148           15122557+0023294           4419756849231246336           10.188           10.8993
1.85528881421203           85.8800385452159           00072527+8552481           574031523097878656           10.252           10.9063
232.084436373702           38.7377909402184           15282027+3844162           1387906724513453952           9.517           10.9147
8.57045206930288           55.1202344742397           00341690+5507129           418213236343615488           8.841           10.9203
6.7365957136352           1.15032226487475           00265677+0109015           2546975053172103168           10.068           10.9224
201.114252722813           26.3949409325847           13242744+2623418           1449061359387769728           9.619           10.9388
242.537529159316           24.7266188517917           16100901+2443358           1303054770795714560           10.16           10.9417
54.0354522993147           -5.96824030395216           03360848-0558058           3247318777008764032           9.686           10.9419
292.083434978446           37.8146639867632           19282002+3748528           2051890182936460928           8.522           10.9546
54.1556128527527           45.8892821141113           03363734+4553216           247804876950761600           9.167           10.9547
290.505591375417           37.4589351601786           19220135+3727324           2051083248784888576           10.204           10.9592
258.718970220266           32.0737618554917           17145257+3204256           1333569654439561472           10.295           10.9713
48.9404969575626           1.42244639714783           03154571+0125208           3267008212763358720           9.277           10.9753
217.730319525333           51.2962741845592           14305529+5117465           1604598446052126208           10.499           10.9868
53.960474873405           -5.51106959858142           03355049-0530398           3247561597280120320           10.104           10.9899
169.332114684083           39.7175116333154           11171977+3943032           765207904784877440           9.598           11.0203
132.500168667618           11.2424367283227           08500005+1114327           598878183781818368           10.303           11.0224
233.101145259395           40.0334913761879           15322434+4002001           1389680790821004416           9.699           11.0311
61.6630512122653           -7.07507002245056           04063913-0704302           3196622769754264704           10.28           11.0412
54.9184938104998           32.3347667734425           03394041+3220052           217408568760296448           9.218           11.0452
293.294391232493           41.0353465671073           19331065+4102072           2077379340674822016           10.279           11.0503
222.222578341598           41.2350356495089           14485347+4114060           1488971226294695936           9.868           11.0598
205.498911503784           28.3824170982341           13415973+2822567           1454784523573570816           9.142           11.07
54.4995070743634           45.7223439853223           03375988+4543204           247741685092965504           8.441           11.0729
28.9886794418745           85.4061578783107           01555729+8524220           573074157707546368           9.667           11.0755
98.338900946045           -31.2962235853663           06332133-3117464           2893895538950730368           9.781           11.0762
177.189273943357           2.60955851134039           11484542+0236344           3895620794437153664           10.31           11.0866
8.01792379428622           85.3824227516124           00320426+8522568           573952731920759552           8.751           11.1016
230.242549105709           0.399971259940219           15205820+0024000           4420355331449676160           10.426           11.1041
56.2637487779286           23.8392156579051           03450326+2350219           65194584193758336           9.835           11.1054
259.468027527417           -24.4331779321416           17175237-2425592           4111054322484340096           9.401           11.1111
195.009122200886           28.522415399705           13000218+2831208           1463852230323289984           10.21           11.1135
25.4912811009617           85.3351700553177           01415794+8520066           573803404498815488           9.524           11.1494
233.09625587646           42.4656981534125           15322311+4227566           1391126064496467200           9.712           11.1644
0.831763447006497           -0.286433982850663           00031962-0017109           2545955320560099200           10.42           11.1869
77.9704646319115           25.1283372070468           05115291+2507419           3419073076068071040           9.441           11.1881
132.353757886765           11.7348991059669           08492491+1144057           598959032246073216           9.831           11.1889
169.038325753645           39.4783112508497           11160919+3928420           765105753282614528           10.309           11.2035
17.6653318444773           -76.278400566643           01103970-7616420           4636352981977947520           10.456           11.2097
292.976209421722           42.547686558502           19315429+4232516           2077800002648034944           9.554           11.2104
248.356118493247           44.4409402484691           16332548+4426270           1405648757673445376           10.408           11.2197
322.916806441507           10.812525039109           21314001+1048452           1742668003802349312           10.656           11.2205
195.140278036131           26.1486501599359           13003368+2608550           3958310171448843392           10.185           11.222
163.738968139301           48.1385725041972           10545732+4808185           832228395538426112           10.361           11.2328
194.171420041723           28.9796930077504           12564115+2858467           1464106217508718848           10.241           11.2361
140.619229849761           33.7276631933654           09222861+3343397           702110849478292352           10.498           11.2482
177.184928942771           33.5010590836103           11484441+3330038           4030756820804699008           10.418           11.2517
49.2124924441142           -0.943508749067829           03165100-0056367           3265681033509121536           10.39           11.2549
37.1894460408042           59.9714719869023           02284544+5958174           465286039242540288           10.038           11.269
53.6948582655269           -7.50535051369365           03344678-0730183           5165605068670767104           10.334           11.2787
231.158056926292           7.8646506223548           15243795+0751525           1163669784820228608           9.902           11.2816
71.1727434207433           62.3615034490651           04444144+6221417           478531791403632128           9.542           11.2864
120.340558368536           40.7317971678432           08012172+4043545           921390026818340352           9.689           11.288
194.771625105188           27.8088502188227           12590520+2748316           1460712231272847232           10.497           11.298
196.960251442708           27.5015596024932           13075050+2730053           1460859394032862592           10.441           11.3191
184.982189019482           1.00867740848754           12195571+0100311           3700017504057261440           10.515           11.3192
0.835801959070308           75.7766381312007           00032059+7546359           539720605621048960           8.861           11.324
44.0779515801924           0.943040669047197           02561870+0056352           306768039864448           10.254           11.3264
61.2588056273873           -6.37691162523472           04050210-0622367           3197278525360863616           10.461           11.3276
53.2689461020222           46.7639121569217           03330455+4645500           248079686137911168           9.453           11.3367
52.7192655854114           45.7883515773144           03305263+4547180           241986570654529664           8.828           11.3517
246.595953452138           39.0019097749966           16262304+3900066           1332205401027740928           10.423           11.3564
206.160155169048           1.08191467952758           13443844+0104548           3663309208852008064           10.632           11.3593
244.518711449031           48.2763689671191           16180450+4816347           1411130544691987200           10.643           11.3723
11.6584822443068           84.6957668687523           00463801+8441448           573543168137997440           10.452           11.3756
168.32712537939           39.9312766171278           11131852+3955526           765367089157693824           9.918           11.383
132.67852111552           12.1936169789319           08504284+1211372           604989677430427776           9.955           11.388
114.346994803816           29.1156680985052           07372324+2906563           879365622956594304           10.031           11.3941
121.718923903881           24.8260741130425           08065253+2449348           680997683604131072           10.311           11.4017
48.6082100964755           -0.551819272131287           03142598-0033062           3265767100358159872           10.295           11.4139
