#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#RA, DEC, TYC ID, 2MASS ID, H Mag., TESS Mag.
#@ra, dec, string, string, float, float
RA,DEC,TYC,TWOMASS,Hmag,Tmag
206.584234557859,27.1927198433719,2002-00426-1,13462022+2711341,6.919,7.55661
159.317088746163,23.4498293122898,1977-01539-1,10371611+2326595,7.197,7.82119
273.609173286049,5.90634159044616,0443-01013-1,18142617+0554228,7.399,7.85391
226.783084362291,22.0180216574412,1492-01173-1,15070796+2201043,7.474,8.16878
12.7482340071057,84.6355852836929,4619-00150-1,00505932+8438080,7.519,8.2134
217.301965781594,57.167193097742,3862-01381-1,14291253+5710015,7.828,8.3089
243.537947338773,50.075652565706,3497-00318-1,16140911+5004326,7.654,8.34123
123.970218690396,50.7855199885558,3421-02028-1,08155288+5047084,7.855,8.34694
281.205423584375,-3.60422402159146,5117-02206-1,18444929-0336149,7.756,8.44607
53.364927565338,0.119651327208392,0064-00704-1,03332757+0007107,8.006,8.45016
243.780274647663,24.526710523634,2046-00517-1,16150725+2431363,7.91,8.60295
290.680156147119,29.9608947376578,2136-00078-1,19224323+2957392,8.258,8.6478
20.3820679478245,-73.6656268478582,9142-02363-1,01213171-7339563,8.138,8.7978
196.075310495306,28.1068874932149,1995-01755-1,13041806+2806250,8.268,8.9063
196.629319636997,28.0741408212549,1995-01882-1,13063105+2804269,8.368,8.94575
180.79203206137,-74.9424382075638,9239-00876-1,12031019-7456327,8.285,8.9938
121.58491419297,27.8944476465073,1935-00398-1,08062039+2753400,8.498,9.00495
216.067781934908,-5.3209655503965,4983-01065-1,14241630-0519154,8.376,9.05566
22.3632320662386,-73.0105463959386,9142-00503-1,01292717-7300378,8.485,9.1337
221.611875917954,51.5649163639271,3480-00413-1,14462688+5133535,8.5,9.1954
112.148370299369,22.2471950356552,1372-00878-1,07283562+2214499,8.997,9.2418
163.197032367588,48.842223288385,3446-00394-1,10524735+4850317,8.681,9.2934
240.371337913767,25.8276069019296,2038-00834-1,16012911+2549393,8.743,9.35807
217.034314772045,49.2567395089571,3475-01117-1,14280818+4915248,8.786,9.37165
239.742592021989,27.0337927334365,2037-01534-1,15585824+2702017,8.691,9.39419
141.15389786912,47.2493996511679,3425-00494-1,09243694+4714578,8.86,9.4934
230.501901934895,0.988006330220317,0336-00947-1,15220046+0059168,8.866,9.51848
210.803969970805,28.0041694040185,2012-00762-1,14031294+2800152,8.902,9.5565
291.77185119481,41.098103088255,3138-00547-1,19270523+4105530,8.955,9.56405
224.894244217625,22.1535047092499,1491-00803-1,14593462+2209125,8.911,9.6069
228.748970322495,0.0939497908466274,0335-00320-1,15145975+0005386,8.84,9.61304
190.20244638539,-7.80519608885127,5528-00067-1,12404862-0748188,8.917,9.6203
175.973617700575,1.78420889504796,0272-00597-1,11435367+0147031,9.197,9.7377
180.565746052896,19.4214477748145,1444-02080-1,12021584+1925175,8.967,9.7446
194.536174598941,49.1756089202814,3461-02226-1,12580871+4910325,8.844,9.7618
179.01033332942,55.8395029832523,3836-00393-1,11560245+5550221,8.988,9.7638
99.60835671862,-69.9153992335376,9181-00878-1,06382599-6954559,9.11,9.7874
45.5192459788865,-0.232316121359948,4707-00404-1,03020464-0013559,8.974,9.7899
247.48145679974,39.2486381307863,3063-02287-1,16295553+3914554,8.855,9.81496
230.371218386258,67.379616856161,4187-00660-1,15212898+6722473,9.204,9.8559
202.060147395226,38.3533445050694,3025-00546-1,13281446+3821122,9.242,9.9232
196.044448723861,27.7252026380792,1995-02192-1,13041065+2743309,9.349,9.9402
193.574239032126,27.8622330362051,1995-02032-1,12541780+2751439,9.259,9.9404
123.023448481024,33.6206975186762,2473-00311-1,08120565+3337152,9.021,9.98374
168.151590062347,39.7822223129929,3010-01443-1,11123641+3946564,9.207,10.05
165.048667195324,49.4935251274064,3447-00470-1,11001169+4929368,9.579,10.0564
1.08028203792518,0.875573797696796,0001-01024-1,00041928+0052323,9.344,10.0616
178.536203678784,33.8596066443798,2526-02226-1,11540869+3351349,9.282,10.0707
159.488373886594,24.7913288917006,1977-00663-1,10375721+2447287,9.435,10.0708
7.95537157512279,84.4433476929551,4619-00111-1,00314911+8426360,9.309,10.0915
175.002548550993,50.4145074504296,3454-01800-1,11400056+5024528,9.305,10.1051
166.632671465767,11.5165799709138,0851-00428-1,11063186+1130597,9.501,10.1071
230.300023563866,1.30487416280482,0336-00835-1,15211202+0118171,9.456,10.113
147.440255389131,37.3561470129376,2508-00308-1,09494567+3721221,9.463,10.1283
52.0186567889833,7.391532354347,0063-00093-1,03280448+0723299,9.398,10.1522
228.673485781365,2.02017624495365,0339-00319-1,15144165+0201126,9.428,10.1698
17.2261995690228,-71.1291325954679,9139-01391-1,01085433-7107447,9.477,10.2003
261.733070810632,59.0000579561545,3900-00332-1,17265591+5900001,9.528,10.2006
175.779945996519,-14.3033603969072,5516-01247-1,11430725-1418121,9.477,10.2047
224.942452510097,67.2585839842253,4186-01108-1,14594618+6715310,9.694,10.2379
55.2408193028954,31.3015865386727,2355-00103-1,03405779+3118059,8.851,10.2541
249.627357211248,37.2327888170908,2588-02387-1,16383054+3713584,9.642,10.2633
252.00066940034,21.4068730720437,1533-00970-1,16480013+2124248,9.331,10.2927
194.439954301824,27.0309483560972,1995-00655-1,12574557+2701516,9.672,10.3347
166.06319216295,44.7042559132957,3012-02127-1,11041521+4442152,9.648,10.3624
258.779735945059,44.6072575580885,3085-00367-1,17150712+4436262,9.436,10.3684
245.888441980347,23.4799088887687,2043-00786-1,16233325+2328477,9.374,10.3746
178.528568351125,34.0059496899623,2526-02075-1,11540687+3400219,9.589,10.3748
4.86381638812937,85.9070225499122,4619-01625-1,00192726+8554252,9.643,10.396
171.541498834774,53.5869631236209,3825-01074-1,11260994+5335131,9.76,10.4116
176.414268825093,2.07752981012158,0272-00068-1,11453946+0204391,9.718,10.425
158.866260832132,25.2097142057905,1973-01247-1,10352794+2512348,9.791,10.4413
228.025462448974,68.4496014261899,4411-00332-1,15120615+6826579,9.687,10.4584
291.752055502708,38.6625555461922,3134-00048-1,19270048+3839451,9.863,10.4903
214.139117463302,56.9087506877656,3862-00295-1,14163340+5654313,9.641,10.5007
194.157795578128,27.3516776586165,1995-01009-1,12563793+2721062,9.618,10.5608
198.357182415759,31.5950866392448,2535-00413-1,13132575+3135425,9.863,10.6198
203.561282906138,37.8588547547489,3026-01126-1,13341473+3751311,8.833,10.6409
229.715522541301,-0.164043153666728,5002-00090-1,15185169-0009502,9.979,10.6999
185.250328763533,-1.64295222678314,4941-00667-1,12210006-0138348,9.915,10.7025
177.513561216737,49.0960271854582,3454-00853-1,11500324+4905456,9.573,10.7067
119.873666917783,29.8776466143497,1938-01050-1,07592968+2952397,9.842,10.7105
242.539376700354,23.2059478935926,2035-01633-1,16100946+2312212,9.957,10.774
236.34496569992,28.5457004768311,2039-01489-1,15452284+2832443,9.604,10.7764
141.73763847462,28.9140627900545,1958-00141-1,09265703+2854508,10.069,10.7767
218.760562965041,51.25290024798,3479-00600-1,14350252+5115106,10.169,10.8522
167.931053741157,41.0421395829646,3010-01984-1,11114354+4102314,9.221,10.8586
201.115830346148,31.6969762956265,2536-00538-1,13242779+3141489,9.946,10.8624
195.485407490236,29.0254043707166,1995-02078-1,13015650+2901317,9.936,10.8907
228.10645475664,0.39139583325148,0335-00489-1,15122557+0023294,10.188,10.8993
1.85528881421203,85.8800385452159,4619-01996-1,00072527+8552481,10.252,10.9063
6.7365957136352,1.15032226487475,0003-00611-1,00265677+0109015,10.068,10.9224
242.537529159316,24.7266188517917,2035-00093-1,16100901+2443358,10.16,10.9417
290.505591375417,37.4589351601786,2666-00899-1,19220135+3727324,10.204,10.9592
258.718970220266,32.0737618554917,2595-00148-1,17145257+3204256,10.295,10.9713
217.730319525333,51.2962741845592,3479-00408-1,14305529+5117465,10.499,10.9868
53.960474873405,-5.51106959858142,,03355049-0530398,10.104,10.9899
169.332114684083,39.7175116333154,,11171977+3943032,9.598,11.0203
132.500168667618,11.2424367283227,0813-02346-1,08500005+1114327,10.303,11.0224
233.101145259395,40.0334913761879,3055-01389-1,15322434+4002001,9.699,11.0311
61.6630512122653,-7.07507002245056,4731-00100-1,04063913-0704302,10.28,11.0412
293.294391232493,41.0353465671073,3139-01506-1,19331065+4102072,10.279,11.0503
222.222578341598,41.2350356495089,3046-00098-1,14485347+4114060,9.868,11.0598
177.189273943357,2.60955851134039,0275-00018-1,11484542+0236344,10.31,11.0866
230.242549105709,0.399971259940219,,15205820+0024000,10.426,11.1041
56.2637487779286,23.8392156579051,1799-00272-1,03450326+2350219,9.835,11.1054
259.468027527417,-24.4331779321416,,17175237-2425592,9.401,11.1111
195.009122200886,28.522415399705,1995-01033-1,13000218+2831208,10.21,11.1135
0.831763447006497,-0.286433982850663,4663-00562-1,00031962-0017109,10.42,11.1869
169.038325753645,39.4783112508497,3010-01763-1,11160919+3928420,10.309,11.2035
17.6653318444773,-76.278400566643,9347-00506-1,01103970-7616420,10.456,11.2097
248.356118493247,44.4409402484691,3069-00978-1,16332548+4426270,10.408,11.2197
322.916806441507,10.812525039109,1123-00419-1,21314001+1048452,10.656,11.2205
163.738968139301,48.1385725041972,,10545732+4808185,10.361,11.2328
194.171420041723,28.9796930077504,1995-01663-1,12564115+2858467,10.241,11.2361
140.619229849761,33.7276631933654,2496-01178-1,09222861+3343397,10.498,11.2482
177.184928942771,33.5010590836103,2524-00921-1,11484441+3330038,10.418,11.2517
49.2124924441142,-0.943508749067829,4708-00215-1,03165100-0056367,10.39,11.2549
37.1894460408042,59.9714719869023,3699-00871-1,02284544+5958174,10.038,11.269
53.6948582655269,-7.50535051369365,5303-01162-1,03344678-0730183,10.334,11.2787
194.771625105188,27.8088502188227,,12590520+2748316,10.497,11.298
196.960251442708,27.5015596024932,1996-01387-1,13075050+2730053,10.441,11.3191
184.982189019482,1.00867740848754,0281-00919-1,12195571+0100311,10.515,11.3192
44.0779515801924,0.943040669047197,,02561870+0056352,10.254,11.3264
61.2588056273873,-6.37691162523472,4731-00442-1,04050210-0622367,10.461,11.3276
246.595953452138,39.0019097749966,3062-00306-1,16262304+3900066,10.423,11.3564
206.160155169048,1.08191467952758,,13443844+0104548,10.632,11.3593
244.518711449031,48.2763689671191,3495-00792-1,16180450+4816347,10.643,11.3723
114.346994803816,29.1156680985052,,07372324+2906563,10.031,11.3941
121.718923903881,24.8260741130425,1931-00016-1,08065253+2449348,10.311,11.4017
48.6082100964755,-0.551819272131287,,03142598-0033062,10.295,11.4139
248.388715668486,39.2628865932865,3063-00116-1,16333329+3915465,10.595,11.4682
56.1485729212722,0.750540875466205,0065-00155-1,03443568+0045022,10.348,11.4818
323.356157394276,0.483484005723955,0542-00276-1,21332546+0029004,10.56,11.4872
27.7761238939549,14.0524563105934,0628-00891-1,01510620+1403087,10.512,11.4922
246.797144163783,30.8506984977108,2581-00026-1,16271136+3051023,10.707,11.5273
193.811551674906,28.4149723863338,1995-01653-1,12551475+2824539,10.357,11.5342
53.6305573177037,-5.91764082072969,,03343133-0555030,9.679,11.5363
166.957612130621,46.4036114441077,,11074988+4624137,9.712,11.5382
205.609998476974,26.791139374218,,13422646+2647281,10.646,11.5426
225.402070597017,21.5354326125375,1491-01251-1,15013649+2132075,10.893,11.544
164.033106118592,44.826528898837,,10560790+4449360,10.576,11.5576
297.783676884393,19.0697984926462,,19510808+1904116,10.653,11.5859
120.868945510285,28.8218304859684,1938-01394-1,08032856+2849188,10.478,11.5907
178.08979309731,34.5300948042737,2526-01428-1,11522159+3431483,10.833,11.6097
113.970703675887,21.5966963327829,1372-02036-1,07355296+2135482,10.973,11.6314
46.2575645828929,0.413960544164429,,03050178+0024503,10.472,11.6338
117.284304919206,48.8475817627178,,07490823+4850519,10.554,11.6466
79.2115734849048,-72.5922905416629,9170-01634-1,05165075-7235325,10.756,11.669
52.4876052515649,-0.904217333987209,4709-01048-1,03295701-0054150,10.673,11.6751
121.252280706131,31.4840294987994,2468-00515-1,08050055+3129023,10.724,11.6767
291.018751411736,38.5697773132292,3134-01166-1,19240451+3834114,10.949,11.6844
161.954094287147,48.2544946925916,3446-00467-1,10474905+4815166,10.735,11.6863
221.141104214464,40.0294237130644,,14443387+4001464,10.607,11.7011
165.789238517294,49.3337810140421,,11030946+4920024,10.56,11.7081
184.174481625068,45.3953811478915,,12164183+4523443,10.454,11.7239
182.019858075675,17.1304794796234,,12080480+1707498,10.839,11.7272
288.447450998917,-1.55316811008961,,19134739-0133112,10.604,11.759
218.822229920407,56.5742509646701,,14351738+5634272,10.684,11.7666
178.262690042537,55.8372086313729,,11530309+5550144,10.514,11.7771
194.532012522926,27.5096332990575,1995-00801-1,12580768+2730344,10.92,11.79
257.818250301316,34.0701248468999,,17111637+3404126,10.784,11.8081
121.76786980915,29.4175873028852,1939-00640-1,08070428+2925041,10.812,11.8334
49.017263748075,-0.0465150728276783,,03160414-0002475,10.95,11.8662
283.166325023592,45.4030459039758,3540-02352-1,18523991+4524110,11.151,11.8715
244.875063511687,32.5913737694726,,16193001+3235292,10.818,11.8832
115.017528237138,28.1712731726304,,07400422+2810169,10.708,11.8899
11.0181327261023,0.382882614039934,,00440430+0022586,10.615,11.8943
254.858057326996,11.2421590024296,0980-00066-1,16592592+1114317,11.015,11.9073
194.992818288404,27.003997802124,,12595831+2700142,11.108,11.9178
181.249629090559,18.9661301051349,,12045991+1857581,11.127,11.9186
49.6498427763572,-0.790643803135612,,03183594-0047260,10.957,11.9312
295.854464159507,45.8922222582998,,19432506+4553319,11.057,11.9624
295.076641031807,39.9582364457027,,19401839+3957298,11.051,11.9692
194.583004550211,28.3247874701086,,12581993+2819292,11.043,11.9857
294.916072264822,46.9449540104159,,19393986+4656419,11.125,12.0704
259.288523001315,30.8789846709859,,17170925+3052445,11.108,12.0803
202.806651418175,25.2744467789164,,13311363+2516274,10.056,12.0893
49.6893416034564,-0.0494523400490188,,03184543-0002576,11.048,12.106
174.741992591764,49.5845078909038,,11385812+4935043,11.187,12.1191
297.513418534306,50.0747801186308,,19500322+5004293,11.481,12.1278
195.296931952549,28.8173102173191,,13011125+2849024,10.942,12.133
322.341740105562,13.6282478489728,,21292196+1337417,10.635,12.133
125.863649075927,-1.12721660634555,,08232729-0107375,10.715,12.1388
45.7811125147276,0.417579033414521,,03030745+0025033,11.252,12.1484
120.303254035149,27.2181762099532,,08011277+2713055,11.305,12.1542
7.77929139865395,85.1470533328649,,00310678+8508494,11.148,12.1889
84.011523136622,10.0941079518352,,05360276+1005389,11.018,12.1996
285.05153065216,44.4851769518086,,19001235+4429064,11.262,12.2085
293.138987261894,39.9257338892146,,19323337+3955326,11.256,12.2108
287.970413116966,45.6636403152292,,19115288+4539490,11.543,12.2263
207.25293352051,27.9202855760437,,13490072+2755130,11.261,12.2386
256.014224280084,33.4005920891644,2594-00705-1,17040340+3324023,11.462,12.2503
197.728232754761,38.1666385242119,,13105477+3810000,11.132,12.2565
238.315241755152,42.3887385554955,,15531573+4223195,11.172,12.2667
257.054915099802,35.0414502194098,,17081317+3502296,11.251,12.2811
196.28262824892,28.4954734702222,,13050784+2829442,11.396,12.2814
193.253673018464,50.3155138593474,,12530089+5018561,11.283,12.2904
182.286210241059,19.4781732439132,,12090872+1928415,11.078,12.3041
13.333251698223,85.1486983335635,,00532016+8508553,11.337,12.3063
168.356988130021,46.2366375592141,,11132570+4614127,10.757,12.3129
9.97264053755237,84.5187266861835,,00395336+8431073,11.436,12.317
195.263119139902,26.7949189532081,,13010317+2647418,11.27,12.3206
198.512527337397,39.648243450713,,13140302+3938537,11.49,12.3248
223.348808801237,46.949618284611,,14532370+4656589,10.746,12.3343
53.2579004361963,-5.22677795431494,,03330186-0513360,11.333,12.3608
257.992546981636,34.8583036308294,,17115823+3451300,11.386,12.4235
232.047109625712,6.50154123645066,,15281129+0630056,11.335,12.4298
195.665441293285,27.4186608863989,,13023972+2725077,11.437,12.458
211.816578023045,46.0120022715601,,14071603+4600441,11.303,12.4709
116.152194931065,32.1036414063025,,07443651+3206135,10.957,12.488
293.838258978917,42.1221516842403,,19352118+4207199,11.648,12.5135
142.597596252456,48.8042689404354,,09302346+4848157,11.168,12.5149
48.2221415679339,0.74810576611443,,03125331+0044543,11.006,12.5164
292.663584977736,46.1149152373278,,19303925+4606537,11.762,12.5334
195.63486749247,27.6085339179129,,13023235+2736306,10.784,12.5415
257.88361718081,34.403163055001,,17113206+3424115,11.411,12.5952
152.079755200409,26.9695771479926,,10081920+2658107,11.07,12.5957
291.345887719912,38.46433374458,,19252303+3827517,11.732,12.6178
1.43707327637419,84.8886782368524,,00054486+8453193,11.577,12.6328
7.58621604220057,85.6422047115457,,00302055+8538318,11.425,12.6416
258.744504103754,32.7097711534821,,17145869+3242355,10.769,12.6478
41.39867893016,-0.105181926904978,,02453568-0006180,10.972,12.674
293.266339134064,38.1260270721357,,19330392+3807338,11.923,12.6994
240.538398074305,29.5778542184235,,16020918+2934406,11.123,12.6995
182.609984563901,19.1178960480843,,12102643+1907049,11.575,12.7239
289.529988177998,47.626163966213,,19180722+4737344,11.414,12.7514
195.016223992382,49.409271091388,,13000386+4924333,11.28,12.7936
297.009435977813,50.3722828748544,,19480226+5022203,12.042,12.8108
4.13722302371912,85.9496475050303,,00163253+8556588,11.731,12.8175
132.97117073667,11.6815667137219,,08515309+1140536,11.984,12.8197
295.374011693531,46.0427373721258,,19412976+4602338,12.138,12.8477
194.124839226863,26.0908437147947,,12563002+2605267,10.902,12.8708
175.037416718554,26.5513812306311,,11400902+2633048,11.136,12.9052
132.817798127708,11.7424706346983,,08511628+1144328,12.021,12.9077
293.455110176835,46.5215837939547,,19334923+4631183,11.88,12.9363
220.491550959881,40.4727535257101,,14415797+4028222,11.795,12.9644
198.945050941577,38.2206772170767,,13154681+3813152,11.916,12.969
132.755419510032,11.6996640506596,,08510131+1141587,12.167,12.984
233.372315389247,43.8268287276231,,15332930+4349373,11.168,13.0854
195.075342091512,25.8579702444776,,13001808+2551291,11.299,13.2933
223.687210950206,46.4461227924309,,14544500+4626456,11.278,13.4266
157.218802479071,14.2235602589279,,10285250+1413248,11.468,13.5087
174.53574242494,50.0887468336749,,11380857+5005194,11.472,13.5158
78.9573353165524,-39.9781660984724,,05154977-3958415,12.099,13.9182
205.749832844439,29.2709900490754,,13425995+2916155,12.284,14.1406
293.463542539059,42.8841027942522,,19335125+4253024,12.342,14.2573
196.086363681886,56.3008692607757,,13042084+5618029,12.368,14.2806
84.2416214482269,9.89218420575818,,05365798+0953323,12.185,14.2886
292.192064927892,39.4353459278373,,19284616+3926074,12.565,14.3805
196.798225406905,58.2467890526399,,13071171+5814483,12.383,14.5092
301.593233526853,7.08929369199907,,20062238+0705213,12.616,14.6323
176.243267607,1.42578623255982,,11445841+0125329,12.503,14.6873
95.1267916480996,-1.49594716246752,,06203044-0129455,12.646,14.7124
31.1814707958321,-73.1354057960078,,02044371-7308073,12.521,14.745
186.402329945058,0.854660999456638,,12253655+0051168,12.909,14.7678
259.041432739128,-24.8834874475635,,17160993-2453002,12.55,14.8506
241.806468247584,24.177964584556,,16071354+2410399,12.952,14.8791
160.043958886641,23.6667073225693,,10401050+2340009,12.952,14.9268
146.403182537121,37.3676105756713,,09453676+3722037,13.09,14.9653
313.674973659679,51.5607724761985,,20544193+5133387,13.229,15.0721
142.401633010959,46.8191938662814,,09293637+4649097,12.689,15.0801
177.245807270718,0.764677515428477,,11485904+0045527,13.036,15.0982
158.268021427482,39.6546614759191,,10330437+3939166,13.241,15.115
122.714189513422,32.3068925944353,,08105145+3218246,12.977,15.1234
183.354211682612,14.3792143706121,,12132501+1422455,13.079,15.1789
215.961182736413,56.6625487171019,,14235065+5639452,13.014,15.1804
224.218083468054,22.661441596934,,14565237+2239412,13.17,15.187
176.487518109354,34.9405454643861,,11455704+3456258,13.4,15.206
163.771178162453,48.2012991048144,,10550513+4812041,13.029,15.2321
177.244508325097,35.7194862778245,,11485866+3543102,13.38,15.2841
179.3274163702,34.1971036208319,,11571859+3411497,13.326,15.3608
126.871352938097,0.471015439834457,,08272914+0028155,13.449,15.3659
144.158168178423,55.2564143889649,,09363802+5515234,13.334,15.3687
177.938379403064,33.3954822411088,,11514521+3323435,13.552,15.4116
139.66505230822,22.0384014001148,,09183962+2202188,13.457,15.4548
166.154352721329,11.1298880406004,,11043705+1107478,13.625,15.4818
163.859166057121,47.4897145563886,,10552625+4729228,13.227,15.4823
176.749331917175,-14.2783010854164,,11465980-1416418,13.34,15.4924
178.491449470675,19.094458540941,,11535791+1905406,13.55,15.5596
194.98345339606,42.2952379038872,,12595605+4217434,13.618,15.5625
192.002780332582,-2.00477980621033,,12480068-0200162,13.604,15.594
194.152710074855,42.2600515602434,,12563665+4215362,13.79,15.8722
225.630116769803,37.8219301735182,,15023121+3749184,13.774,15.9275
