Ra,dec
206.58423,27.19272
159.31709,23.44983
273.60917,5.90634
226.78308,22.01802
12.74823,84.63559
217.30197,57.16719
243.53795,50.07565
123.97022,50.78552
281.20542,-3.60422
53.36493,0.11965
20.04123,84.75769
243.78027,24.52671
290.68016,29.96089
35.42930,57.30825
20.38207,-73.66563
194.42363,28.82589
196.07531,28.10689
196.62932,28.07414
180.79203,-74.94244
121.58491,27.89445
216.06778,-5.32097
22.36323,-73.01055
221.61188,51.56492
112.14837,22.24720
163.19703,48.84222
240.37134,25.82761
217.03431,49.25674
239.74259,27.03379
286.95569,46.93664
205.28370,28.71066
141.15390,47.24940
230.50190,0.98801
53.81234,46.12319
210.80397,28.00417
79.81227,23.73261
291.77185,41.09810
193.66466,57.42325
224.89424,22.15350
228.74897,0.09395
190.20245,-7.80520
79.17974,23.13044
257.28814,32.35682
122.79843,32.91801
251.69561,19.93796
175.97362,1.78421
180.56575,19.42145
194.53617,49.17561
179.01033,55.83950
99.60836,-69.91540
45.51925,-0.23232
79.25079,23.96937
247.48146,39.24864
260.36526,59.85578
230.37122,67.37962
194.61866,26.61464
202.06015,38.35334
196.04445,27.72520
193.57424,27.86223
123.02345,33.62070
51.51410,45.75225
168.15159,39.78222
165.04867,49.49353
1.08028,0.87557
178.53620,33.85961
159.48837,24.79133
7.95537,84.44335
175.00255,50.41451
166.63267,11.51658
230.30002,1.30487
147.44026,37.35615
52.01866,7.39153
228.67349,2.02018
158.21523,42.91787
17.22620,-71.12913
261.73307,59.00006
175.77995,-14.30336
224.94245,67.25858
53.18711,46.39413
194.35718,28.30723
55.24082,31.30159
249.62736,37.23279
252.00067,21.40687
52.44510,45.35232
194.43995,27.03095
122.85033,32.86157
54.50436,46.05377
166.06319,44.70426
258.77974,44.60726
245.88844,23.47991
178.52857,34.00595
11.66363,85.39272
4.86382,85.90702
0.87512,74.86638
171.54150,53.58696
176.41427,2.07753
158.86626,25.20971
228.02546,68.44960
185.05780,15.55725
204.09575,28.56868
291.75206,38.66256
214.13912,56.90875
2.67517,1.86837
228.90732,-0.33504
194.15780,27.35168
8.74798,55.97731
6.89488,54.71635
9.47747,84.51168
198.35718,31.59509
2.79214,1.29608
203.56128,37.85885
54.17607,44.82010
167.19432,48.47840
132.84901,11.83036
46.00753,-1.46951
229.71552,-0.16404
185.25033,-1.64295
177.51356,49.09603
119.87367,29.87765
19.74671,85.38686
115.48461,27.89788
242.53938,23.20595
236.34497,28.54570
141.73764,28.91406
171.69874,52.86907
166.91196,46.81661
121.90006,21.77878
17.35783,83.99356
8.32304,53.77272
28.80804,-1.55617
218.76056,51.25290
142.01714,27.42939
167.93105,41.04214
201.11583,31.69698
195.48541,29.02540
228.10645,0.39140
1.85529,85.88004
232.08444,38.73779
8.57045,55.12023
6.73660,1.15032
201.11425,26.39494
242.53753,24.72662
54.03545,-5.96824
292.08343,37.81466
54.15561,45.88928
290.50559,37.45894
258.71897,32.07376
48.94050,1.42245
217.73032,51.29627
53.96047,-5.51107
169.33211,39.71751
132.50017,11.24244
233.10115,40.03349
61.66305,-7.07507
54.91849,32.33477
293.29439,41.03535
222.22258,41.23504
205.49891,28.38242
54.49951,45.72234
28.98868,85.40616
98.33890,-31.29622
177.18927,2.60956
8.01792,85.38242
230.24255,0.39997
56.26375,23.83922
259.46803,-24.43318
195.00912,28.52242
25.49128,85.33517
233.09626,42.46570
0.83176,-0.28643
77.97046,25.12834
132.35376,11.73490
169.03833,39.47831
17.66533,-76.27840
292.97621,42.54769
248.35612,44.44094
322.91681,10.81253
195.14028,26.14865
163.73897,48.13857
194.17142,28.97969
140.61923,33.72766
177.18493,33.50106
49.21249,-0.94351
37.18945,59.97147
53.69486,-7.50535
231.15806,7.86465
71.17274,62.36150
120.34056,40.73180
194.77163,27.80885
196.96025,27.50156
184.98219,1.00868
0.83580,75.77664
44.07795,0.94304
61.25881,-6.37691
53.26895,46.76391
52.71927,45.78835
246.59595,39.00191
206.16016,1.08191
244.51871,48.27637
11.65848,84.69577
168.32713,39.93128
132.67852,12.19362
114.34699,29.11567
121.71892,24.82607
48.60821,-0.55182
78.51159,25.02935
7.30243,55.64806
322.50935,12.18929
102.32301,-5.53063
103.06395,-5.55017
248.38872,39.26289
50.50685,-0.34252
243.70469,24.29478
22.67134,85.89083
56.14857,0.75054
323.35616,0.48348
27.77612,14.05246
205.88573,27.11514
251.02829,22.05604
246.79714,30.85070
193.81155,28.41497
53.63056,-5.91764
166.95761,46.40361
124.02054,28.98175
205.61000,26.79114
225.40207,21.53543
164.03311,44.82653
102.72295,-4.29394
5.28259,54.75704
97.93102,-31.04287
297.78368,19.06980
120.86895,28.82183
178.08979,34.53009
176.30747,51.31074
77.85905,24.17330
113.97070,21.59670
46.25756,0.41396
122.60240,32.69452
52.30007,45.73637
17.16421,85.84296
197.02187,26.48456
117.28430,48.84758
83.61788,-6.17354
194.41404,26.50517
79.21157,-72.59229
52.48761,-0.90422
121.25228,31.48403
77.90451,24.38791
291.01875,38.56978
161.95409,48.25449
221.14110,40.02942
9.90190,83.99388
165.78924,49.33378
184.17448,45.39538
103.14029,-5.48665
182.01986,17.13048
102.06103,-4.36760
77.66131,24.91317
288.44745,-1.55317
237.91492,28.00493
218.82223,56.57425
178.26269,55.83721
102.12512,-4.86263
194.53201,27.50963
257.81825,34.07012
121.76787,29.41759
49.01726,-0.04652
283.16633,45.40305
53.15745,47.27516
295.52389,45.37498
244.87506,32.59137
115.01753,28.17127
11.01813,0.38288
254.85806,11.24216
194.99282,27.00400
181.24963,18.96613
79.37426,24.74443
49.64984,-0.79064
52.80958,-7.38851
102.82114,-4.88770
295.85446,45.89222
295.07664,39.95824
194.58300,28.32479
294.91607,46.94495
259.28852,30.87898
202.80665,25.27445
158.66169,42.77199
49.68934,-0.04945
102.43831,-5.52882
174.74199,49.58451
191.77670,13.02385
297.51342,50.07478
195.29693,28.81731
322.34174,13.62825
125.86365,-1.12722
78.39009,25.05488
45.78111,0.41758
194.57526,28.42165
120.30325,27.21818
54.85882,45.41357
206.63869,27.02710
7.77929,85.14705
197.37711,58.01431
84.01152,10.09411
285.05153,44.48518
293.13899,39.92573
195.65043,26.52928
287.97041,45.66364
275.18135,-32.33349
207.25293,27.92029
152.90632,27.07126
78.33074,23.77157
256.01422,33.40059
197.72823,38.16664
163.88183,44.59199
238.31524,42.38874
54.15126,44.97101
11.17131,83.85989
24.44794,85.71431
257.05492,35.04145
196.28263,28.49547
147.74471,39.00451
193.25367,50.31551
182.28621,19.47817
13.33325,85.14870
168.35699,46.23664
102.57129,-5.79488
9.97264,84.51873
15.38729,84.26969
195.26312,26.79492
198.51253,39.64824
230.96378,44.14054
52.85123,46.33596
223.34881,46.94962
206.53354,26.83700
284.79692,45.09907
206.57128,28.44947
177.43821,51.55131
123.41598,28.51191
53.25790,-5.22678
78.12691,25.27006
102.80055,-5.16203
241.28001,26.89197
257.99255,34.85830
246.35230,30.37595
232.04711,6.50154
240.85871,7.45701
78.49792,23.36185
195.66544,27.41866
211.81658,46.01200
116.15219,32.10364
52.33164,-7.03147
132.80560,11.86115
293.83826,42.12215
142.59760,48.80427
48.22214,0.74811
194.33886,26.38452
204.96878,27.24691
81.84939,12.77866
292.66358,46.11492
195.63487,27.60853
293.77214,44.63848
82.35949,35.91861
112.00060,24.04028
16.79249,84.45627
257.88362,34.40316
152.07976,26.96958
8.70924,53.70334
198.99295,39.52017
291.34589,38.46433
174.92010,50.21511
259.58591,-23.84571
1.43707,84.88868
7.58622,85.64220
258.74450,32.70977
97.67784,-30.95298
78.65944,24.37854
118.12552,26.80258
194.61218,27.42234
112.11515,22.42799
41.39868,-0.10518
217.92083,51.62205
293.26634,38.12603
240.53840,29.57785
102.68442,-3.19919
182.60998,19.11790
27.05665,85.29945
289.52999,47.62616
195.01622,49.40927
79.42825,23.96103
297.00944,50.37228
4.13722,85.94965
132.97117,11.68157
295.37401,46.04274
218.36810,8.44230
194.12484,26.09084
237.79886,84.72983
141.89631,48.83351
175.03742,26.55138
132.81780,11.74247
259.62945,-24.82496
97.34946,-31.75300
293.45511,46.52158
291.93007,39.07201
220.49155,40.47275
198.94505,38.22068
205.53504,28.57656
132.75542,11.69966
5.69513,55.59946
294.75771,46.83106
152.08934,25.11837
144.23094,48.46505
162.92871,47.86042
195.27725,27.58512
241.60031,5.50076
75.32248,23.19893
14.44923,85.04141
25.25495,85.59382
233.37232,43.82683
291.84968,37.73860
292.17447,41.29064
231.93088,5.91654
232.07746,5.38414
193.68361,26.97238
285.09070,43.80179
218.37283,9.97831
54.80283,47.11060
194.86546,50.06362
284.25724,45.11867
26.25222,84.69293
196.53283,27.60930
80.43519,24.39932
132.79035,11.98601
289.68052,47.31776
102.16368,-5.34476
18.90025,84.94446
23.94353,84.32425
294.32255,50.74167
195.07534,25.85797
12.90168,84.73290
97.80577,-31.50559
287.49352,47.22468
176.59388,1.30729
293.72183,41.87307
176.95290,1.31788
53.16715,45.59216
2.23864,73.69046
151.68124,26.53742
79.69001,25.49602
291.90337,38.92585
132.78705,11.81052
79.15887,25.01053
94.74238,40.03796
138.39008,23.60914
227.08746,32.12493
54.72630,46.39577
18.98221,85.25816
78.52005,25.77356
145.97998,37.60240
225.28762,37.03942
223.68721,46.44612
323.56672,11.81095
143.03892,46.66943
196.88980,38.67033
293.66010,40.36421
243.59774,52.01016
291.88922,39.36173
259.26336,-24.08877
157.21880,14.22356
174.53574,50.08875
22.34138,85.01176
292.37476,37.63097
25.69564,84.50180
20.26220,84.52509
95.34680,17.03005
295.18087,40.33985
217.02563,8.40410
78.28106,-40.50878
125.56122,1.20711
218.27132,9.27859
192.43869,12.25340
132.94754,11.78601
296.33853,48.75751
197.69467,17.99343
205.85348,29.03527
290.86443,1.50328
218.48611,8.36552
206.25620,18.80605
294.25415,47.43776
289.58307,-28.67916
142.40833,46.58478
259.40562,-23.86204
77.93753,-40.07251
114.20006,18.09486
195.71721,58.22892
258.35200,-23.92218
207.04302,28.66300
13.79620,85.38081
150.81033,25.71010
296.20617,49.47201
224.83949,22.43555
195.62130,57.33886
176.27943,-14.29207
77.82013,-40.34486
292.51319,40.82752
349.96643,52.72150
222.91297,85.88198
74.99300,62.92051
130.63378,11.12280
230.62438,7.03161
265.22441,-54.11342
293.91366,45.18981
159.56621,38.31787
184.37836,0.21535
8.43018,85.38378
81.30956,-23.73980
248.25809,-13.93185
289.31611,-60.05925
253.81460,-63.96401
292.54320,37.55573
290.42528,46.88995
14.81932,-70.76188
178.17538,2.21166
289.50858,-60.24874
293.70904,45.28635
177.58908,1.26688
252.86492,-63.79704
114.57963,22.85707
295.91753,50.23752
194.49772,57.78375
78.95734,-39.97817
20.07192,85.88301
54.78766,45.01726
184.65307,14.76987
251.45660,35.34851
78.89558,-40.62473
333.75279,50.42192
250.26615,36.67017
294.20698,38.22349
176.47215,1.00572
142.26319,27.53463
327.03891,46.78800
251.80880,-63.19405
159.02617,23.47642
322.14529,11.11229
16.21588,85.59626
81.74089,-24.76697
71.58583,-75.67698
