#TICID      RA          DEC        TWOMASS            GAIA                  Hmag     Tmag    
3960154     152.0895    25.1184    10082149+2507064   738631334352041984    11.632   13.0349
9586509     259.2885    30.879     17170925+3052445   1333223858032542848   11.108   12.0803
11835750    176.3074    51.3108    11451378+5118387   791698575874413440    10.235   11.6177
14163693     77.8201   -40.3448    05111683-4020413   4819213413631022848   12.711   13.7768
17201403    145.7278    38.8726    09425467+3852214   800722989357056512    13.356   14.93
17258738    147.5072    36.8102    09500172+3648365   796560272694942848    13.425   14.6183
17303256    160.8993    39.8545    10433583+3951162   779284608557960832    13.188   14.2437
20213216     227.135    36.6662    15083242+3639584   1292258459962736768   13.741   15.4396
21501126    149.0882    38.1251    09562117+3807304   797105630462442112    13.781   15.0994
22791140    203.5613    37.8586    13341473+3751311   1475570550374176128    8.833   10.6409
34235115     61.2588    -6.3769    04050210-0622367   3197278525360863616   10.461   11.3276
39140799    168.3272    39.9313    11131852+3955526   765367089157693824     9.918   11.383
49907420     49.2125    -0.9436    02284544+5958174   465286039242540288    10.038   11.269
57034013    182.6101    19.118     12102643+1907049   3950204228132377088   11.575   12.7239
57298985    251.8854    37.4545    16473251+3727163   1352215859818022016   12.921   14.0151
72460922    205.8878    17.5215    13433307+1731175   1247542077975113728   12.84    14.8008
82223159    150.8104    25.7101    10031448+2542363   738943900596725248    12.825   13.7244
82311459    176.4876    34.9405    11455704+3456258   4031143848897731840   13.4     15.206
85991633    138.3908    23.6091    09133362+2336330   687066128795761408    11.67    13.3588
85997613    138.7162    21.1707    09145187+2110146   636959872088672000    13.004   14.3374
86070139    139.6651    22.0385    09183962+2202188   638611235474465792    13.457   15.4548
86118643    140.3135    22.5462    09211525+2232465   639025339041489664    13.062   14.3482
87496558    177.2067    19.5265    11484960+1931353   3976115765828734464   13.567   14.8788
87497146    177.5127    19.7854    11500305+1947075   3976127276341105024   13.461   14.5669
87497224    177.5019    20.2599    11500045+2015357   3976182251922489472   12.921   14.1049
92043615    191.7767    13.0239    12470641+1301261   3928994305235773184   10.7     12.1225
92097666    192.4389    12.2534    12494533+1215121   3928142939637911040   12.468   13.6057
92127380    192.9816    12.4687    12515559+1228075   3928164311395252480   13.337   15.2512
99299848    179.1838    34.4507    11564409+3427026   4028300271310136448   13.439   14.9474
101166990    55.2408    31.3016    03405779+3118059   216531983114472960     8.851   10.2541
101643375   176.6487    34.8386    11463570+3450190   4031232325224024192   13.673   15.6402
116487079   233.3721    43.827     15332930+4349373   1391448324482530176   11.168   13.0854
137002621   194.1527    42.2601    12563665+4215362   1528444518366146048   13.79    15.8722
